date,meeting_title,category,url
2025-01-28,"January 28, 2025 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=40065598
2024-01-23,"January 23, 2024 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30376866
2024-04-18,"April 18, 2024 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30317724
2024-06-06,"June 6, 2024 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30374761
2024-08-20,"August 20, 2024 (Workshop) CAB Meeting Minutes",other,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=31636520
2024-08-21,"August 21, 2024 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30963685
2024-10-16,"October 16, 2024 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=32981737
2023-01-31,"January 31, 2023 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30316811
2023-04-19,"April 19, 2023 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30317027
2023-06-22,"June 22, 2023 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30317141
2023-08-23,"August 23, 2023 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30317225
2023-10-11,"October 11, 2023 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30317313
2023-12-13,"December 13, 2023 CAB Meeting Minutes",minutes,https://oitco.hylandcloud.com/cdotrmpop/docpop/docpop.aspx?docid=30317414
